mG_th,lowG_range_1,lowG_range_2,lowG_range,min_mG_lpf[lowG_range],max_mG_lpf[lowG_range],mean_mG_lpf[lowG_range],std_mG_lpf[lowG_range],min_mG[lowG_range],max_mG[lowG_range],mean_mG[lowG_range],std_mG[lowG_range],min_gyro[lowG_range],max_gyro[lowG_range],mean_gyro[lowG_range],std_gyro[lowG_range],min_idx,mG_lpf[min_idx],mG[min_idx],gyro[min_idx],air_range_1,air_range_2,air_range,min_mG_lpf[air_range],max_mG_lpf[air_range],mean_mG_lpf[air_range],std_mG_lpf[air_range],min_mG[air_range],max_mG[air_range],mean_mG[air_range],std_mG[air_range],min_gyro[air_range],max_gyro[air_range],mean_gyro[air_range],std_gyro[air_range],liftoff_idx,mG_lpf[liftoff_idx],mG[liftoff_idx],gyro[liftoff_idx],touch_idx,mG_lpf[touch_idx],mG[touch_idx],gyro[touch_idx],landing_range_1,landing_range_2,landing_range,min_mG_lpf[landing_range],max_mG_lpf[landing_range],mean_mG_lpf[landing_range],std_mG_lpf[landing_range],min_mG[landing_range],max_mG[landing_range],mean_mG[landing_range],std_mG[landing_range],min_gyro[landing_range],max_gyro[landing_range],mean_gyro[landing_range],std_gyro[landing_range],full_jump_range,min_mG_lpf[full_jump_range],max_mG_lpf[full_jump_range],mean_mG_lpf[full_jump_range],std_mG_lpf[full_jump_range],min_mG[full_jump_range],max_mG[full_jump_range],mean_mG[full_jump_range],std_mG[full_jump_range],min_gyro[full_jump_range],max_gyro[full_jump_range],mean_gyro[full_jump_range],std_gyro[full_jump_range],impulse_idx,mG_lpf[impulse_idx],mG[impulse_idx],gyro[impulse_idx],distance,tests_passed,total_tests,confidence,run_sample_count,min_mG_lpf[full_range],max_mG_lpf[full_range],mean_mG_lpf[full_range],std_mG_lpf[full_range],min_mG[full_range],max_mG[full_range],mean_mG[full_range],std_mG[full_range],min_gyro[full_range],max_gyro[full_range],mean_gyro[full_range],std_gyro[full_range]
600,57848,57861,13,537.7512383937107,599.8643544754423,557.6567674743718,18.590038288667166,465.21070494991835,2241.8420997028315,1050.4254786086763,556.410202898665,134536.63107124393,187067.99004639997,160656.63650852602,15426.13889318922,57855,537.7512383937107,557.8144852905848,165463.32826339497,57847,57877,30,537.7512383937107,1139.6698669451168,698.8814395493316,179.80663644910217,97.02576977277738,2241.8420997028315,861.0859236709464,468.02973415772715,125452.30408406217,187067.99004639997,155586.38749416318,16317.181328774264,57847,618.5870070438574,598.0994900516134,125452.30408406217,57877,1195.2304460185414,598.432953638083,142934.61792022252,57877,57927,50,1195.2304460185414,2011.6291635997666,1761.6786253585697,223.9205904971157,575.9670129443178,7017.601655836558,2688.595860128729,1384.6302686633212,46529.10057157779,270399.23613057786,146680.21104202743,55255.2779258804,80,537.7512383937107,2011.6291635997666,1363.1296806801056,555.1550366602414,97.02576977277738,7017.601655836558,2003.2796339570602,1436.3700543985403,46529.10057157779,270399.23613057786,150020.02721157827,45018.33636627733,57889,1817.4698774302221,7017.601655836558,168736.14343109776,2.1474759046477074,13,15,86.66666666666667,1446198,33.70552916890613,2380.977328312596,1035.2924278395576,134.9967412664973,25.39685019840059,12298.064685144569,1122.573570973559,535.1669337560238,0.0,1849689.410928224,26254.715037325757,49202.663970773785
600,58489,58499,10,559.4612190284113,593.1357242148252,570.2710330748188,10.449613390144433,212.1768130592973,896.0184149893349,457.2051854835453,196.24173451882467,9172.137155537961,45456.79487161408,27764.99377059563,10303.898821261113,58494,559.4612190284113,240.79244174184538,26978.984413798826,58438,58604,166,33.70552916890613,1397.826975512907,818.0336378207631,419.12059293112833,86.46964785403026,3107.5247384373306,1012.9170498705977,677.0403625272893,6982.127183029538,338694.5569388442,60059.42596772772,55928.743090041346,58438,1123.4137451922372,1374.4387945630756,33082.832405947345,58604,431.228558971008,193.97422509189204,43101.64382016073,58604,58654,50,431.228558971008,1110.676097620002,947.1538623710611,194.2957513999285,193.97422509189204,10286.75381254942,1680.1735783279812,1806.1201085997993,21408.215712665078,890429.7412485726,146011.81426299954,184098.48416439322,216,33.70552916890613,1397.826975512907,847.9225786888877,383.019703146854,86.46964785403026,10286.75381254942,1167.374579606103,1089.3074648263967,6982.127183029538,890429.7412485726,79955.81214718877,107534.40847129971,58614,794.4595473315968,10286.75381254942,834812.6806655491,13.492000845647976,12,15,80.0,1446198,33.70552916890613,2380.977328312596,1035.2924278395576,134.9967412664973,25.39685019840059,12298.064685144569,1122.573570973559,535.1669337560238,0.0,1849689.410928224,26254.715037325757,49202.663970773785
600,58564,58608,44,33.70552916890613,552.4379777261889,232.15924233478552,147.32840368338333,86.46964785403026,810.077156819028,344.6620690877247,166.59494684409455,18648.136636136063,97396.08924387056,41066.77419371044,21966.223359659132,58577,33.70552916890613,347.1973502203034,36125.62940628163,58565,58604,39,33.70552916890613,501.6621900736485,197.8317519046414,117.69595144421088,86.46964785403026,633.2550828852462,326.4981212383098,149.3217225585547,18648.136636136063,97396.08924387056,40635.51492740746,23252.361245850327,58565,501.6621900736485,633.2550828852462,35714.957650821874,58604,431.228558971008,193.97422509189204,43101.64382016073,58604,58654,50,431.228558971008,1110.676097620002,947.1538623710611,194.2957513999285,193.97422509189204,10286.75381254942,1680.1735783279812,1806.1201085997993,21408.215712665078,890429.7412485726,146011.81426299954,184098.48416439322,89,33.70552916890613,1110.676097620002,618.7992296947649,406.8231596877727,86.46964785403026,10286.75381254942,1086.989951063968,1514.432367868487,18648.136636136063,890429.7412485726,99835.68309347043,148361.54989754493,58614,794.4595473315968,10286.75381254942,834812.6806655491,0.7562894700200101,13,15,86.66666666666667,1446198,33.70552916890613,2380.977328312596,1035.2924278395576,134.9967412664973,25.39685019840059,12298.064685144569,1122.573570973559,535.1669337560238,0.0,1849689.410928224,26254.715037325757,49202.663970773785
600,59695,59728,33,494.9385103656335,593.0216719065463,528.2053488664706,28.694716259418502,246.3026593441492,10454.967718744998,2064.0165431074056,2190.963060852779,82494.13130641475,749661.4434529763,204243.65760875604,104252.58320725245,59706,494.9385103656335,908.278041130578,183693.5113170849,59688,59714,26,494.9385103656335,800.332985920096,567.0687637074996,91.2085797120639,246.3026593441492,6359.257661079632,918.1518852141081,1139.8078111888028,127211.95737822761,256407.49657527567,193545.4080224244,24174.646659786795,59688,800.332985920096,538.1914157620873,190320.7445340628,59714,514.8724465628491,4560.824706124979,226510.0275925991,59714,59764,50,514.8724465628491,1482.982101915838,915.3519324303509,352.2518564620975,1071.2572053433294,10454.967718744998,3875.1689897431834,2152.974147762298,48002.956158970046,749661.4434529763,204024.65763447672,125705.51676491584,76,494.9385103656335,1482.982101915838,796.2024273409545,334.33459069362544,246.3026593441492,10454.967718744998,2863.5578750358677,2337.088439761626,48002.956158970046,749661.4434529763,200439.65118824827,103056.38519229047,59727,587.776036047427,10454.967718744998,749661.4434529763,1.4411866878239747,12,15,80.0,1446198,33.70552916890613,2380.977328312596,1035.2924278395576,134.9967412664973,25.39685019840059,12298.064685144569,1122.573570973559,535.1669337560238,0.0,1849689.410928224,26254.715037325757,49202.663970773785
600,134084,134153,69,313.44830033414837,591.8595249143505,440.9902196910458,75.39129967168572,70.58328414008518,11815.132457996398,1895.4048281997507,2391.451760488662,73526.29529630879,715878.2442566613,174845.0150024302,125675.05190879454,134102,313.44830033414837,106.93455942771729,143558.44663411484,134085,134113,28,313.44830033414837,566.2660797852998,384.7644682396105,72.843779406275,70.58328414008518,920.6459688718569,356.96546109127786,219.38652032925143,91363.51624144071,154069.31621838268,125397.87231592329,16711.679856896408,134085,566.2660797852998,677.8362634146981,154069.31621838268,134113,412.2008357058257,225.257630281418,111548.70640218111,134113,134163,50,407.42318643317185,910.3535090894865,526.1728091661702,117.3877728980155,225.257630281418,11815.132457996398,3362.5063576901975,2670.0119652340513,73526.29529630879,715878.2442566613,216644.68011012784,144184.52210962307,78,313.44830033414837,910.3535090894865,475.4108406284305,123.85251788283085,70.58328414008518,11815.132457996398,2283.5942409623804,2581.8190062637987,73526.29529630879,715878.2442566613,183889.4157737467,123865.06994422417,134148,488.6299254420267,11815.132457996398,709655.4463258913,1.0570950935782717,12,15,80.0,1446198,33.70552916890613,2380.977328312596,1035.2924278395576,134.9967412664973,25.39685019840059,12298.064685144569,1122.573570973559,535.1669337560238,0.0,1849689.410928224,26254.715037325757,49202.663970773785
600,134498,134521,23,423.241383235,588.7904228360545,478.2055322252148,48.97193474937862,119.07980517283357,4390.293384273994,1111.5011257865954,1181.7898306792415,115637.83896285851,268085.4238857458,199894.0365239201,32707.686126335862,134509,423.241383235,154.52184311611094,208592.3421413164,134500,134517,17,423.241383235,532.1485854422378,455.5191130941463,30.970834636499642,119.07980517283357,4390.293384273994,845.0603340034027,1129.4590204840904,115637.83896285851,268085.4238857458,203561.1353361784,33668.015517421816,134500,532.1485854422378,513.0545779934139,203855.58834626045,134517,498.5513986903995,2852.3257177258,224377.86722402013,134517,134567,50,498.5513986903995,1218.6439956259933,982.5627643537372,224.9183934988387,505.79343609817636,10122.482551232182,3198.171960385496,1906.5808904434114,52001.190370990545,451365.67769381846,180485.11349370654,74033.9115754658,67,423.241383235,1218.6439956259933,848.8352707505574,300.9867301580562,119.07980517283357,10122.482551232182,2601.113786527353,2021.1061019915524,52001.190370990545,451365.67769381846,186340.22351343825,66923.51783766208,134528,790.2717332766748,10122.482551232182,451365.67769381846,0.7671907715401234,12,15,80.0,1446198,33.70552916890613,2380.977328312596,1035.2924278395576,134.9967412664973,25.39685019840059,12298.064685144569,1122.573570973559,535.1669337560238,0.0,1849689.410928224,26254.715037325757,49202.663970773785
600,134678,134688,10,558.0985143872506,598.6884706245322,571.0457759193416,12.363352764068829,547.8786361960101,1915.5972958844977,1240.5963876925769,450.6588541725653,131473.7346392807,216395.53230138557,193659.06557602342,25531.581623970567,134683,558.0985143872506,1134.1653318630401,173984.1515770905,134674,134693,19,558.0985143872506,701.3503951262862,602.6081311482228,40.970842050360574,547.8786361960101,2518.0667187348313,1285.403395287803,527.824438329998,131473.7346392807,239325.17836617192,185136.01565278898,29053.931481402997,134674,701.3503951262862,1040.2451634110105,151580.4703779481,134693,677.1214400355354,788.8282449304157,193861.81212399722,134693,134743,50,677.1214400355354,1553.9283344123705,1249.0091047114297,268.02958619457803,111.2924076476019,7706.220993457169,2947.5853276620533,2026.4542373691509,35974.00728303701,410892.5467807855,169856.20702542315,68987.44829993768,69,558.0985143872506,1553.9283344123705,1071.0146337302565,368.6378472710694,111.2924076476019,7706.220993457169,2489.8830564285645,1898.3533490300797,35974.00728303701,410892.5467807855,174063.69056049496,61055.49460297482,134715,1398.7963500050598,7706.220993457169,193489.19297986644,1.137762128340474,11,15,73.33333333333333,1446198,33.70552916890613,2380.977328312596,1035.2924278395576,134.9967412664973,25.39685019840059,12298.064685144569,1122.573570973559,535.1669337560238,0.0,1849689.410928224,26254.715037325757,49202.663970773785
600,135078,135126,48,134.50491443240435,564.0666472590024,253.55850624156366,122.6061623268418,172.75705484870943,10082.866655867268,4135.776393738598,2961.447554996468,59118.05646331753,646108.9831444847,286594.2616210526,144000.30413613815,135091,134.50491443240435,6557.2876252304195,578161.3207401547,135083,135099,16,134.50491443240435,327.505084334327,178.8665509950158,56.66801132249345,877.0638517234648,10082.866655867268,6010.811213737337,2331.8372161901602,59118.05646331753,637443.5801700414,321598.456378188,183315.53502135788,135083,327.505084334327,8550.455134084968,59118.05646331753,135099,152.87109645305725,885.7019814813558,234920.146007106,135099,135149,50,148.59269194250152,1676.330928562607,656.9154070184563,498.3811755220923,172.75705484870943,8186.022782768198,2595.130071549335,2261.8661436389975,90620.26539356414,646108.9831444847,232240.401659827,112874.85661954254,66,134.50491443240435,1676.330928562607,541.024775255198,480.540087861502,172.75705484870943,10082.866655867268,3423.1739848070324,2708.622758622586,59118.05646331753,646108.9831444847,253902.96037942963,138798.75525035037,135100,150.9207707848142,8186.022782768198,279567.1003533857,0.2649368469583298,7,15,46.666666666666664,1446198,33.70552916890613,2380.977328312596,1035.2924278395576,134.9967412664973,25.39685019840059,12298.064685144569,1122.573570973559,535.1669337560238,0.0,1849689.410928224,26254.715037325757,49202.663970773785
600,135820,135837,17,494.3536499348437,582.7102364350286,524.7999923672021,27.157912589297975,312.7091300234133,2517.3033190301085,955.8509563504223,537.7426750204052,151725.48039139636,285740.7030858572,207181.93937482845,33014.57721446128,135828,494.3536499348437,791.5415339702649,212838.46198467043,135820,135836,16,494.3536499348437,582.7102364350286,522.3193432381963,26.058351597902654,312.7091300234133,2517.3033190301085,957.8377180953985,554.2319287029575,159747.4384771161,285740.7030858572,210647.96806129295,30884.590338848833,135820,582.7102364350286,2517.3033190301085,285740.7030858572,135836,564.4903784312943,924.0627684308031,151725.48039139636,135836,135886,50,564.4903784312943,2020.1107098757411,1225.1200236591683,451.8462019873223,355.65151482877167,6603.106541621149,2044.720530895137,1321.1132466733911,30137.906363913204,286536.07992711844,147340.23849953775,58930.37400949816,66,494.3536499348437,2020.1107098757411,1054.744101132872,495.5274176658705,312.7091300234133,6603.106541621149,1781.233788398231,1270.2942847452182,30137.906363913204,286536.07992711844,162687.5668781451,59985.02357227217,135860,1143.1694683889318,6603.106541621149,243146.9220450878,0.8304561071791181,11,15,73.33333333333333,1446198,33.70552916890613,2380.977328312596,1035.2924278395576,134.9967412664973,25.39685019840059,12298.064685144569,1122.573570973559,535.1669337560238,0.0,1849689.410928224,26254.715037325757,49202.663970773785
600,135940,135947,7,579.8231462238755,597.3335381099129,585.5371231944197,5.737222165167065,461.7456009535987,1773.0752945095142,983.5249023663519,401.1605245101493,156475.28878388435,246942.50930125418,212337.2228193276,27586.174170682247,135944,579.8231462238755,816.4973974238987,228749.34338703577,135936,135956,20,579.8231462238755,749.3942341716518,627.161893893878,47.813171434601585,448.52982063626496,1920.5717898584264,1035.5155652794938,478.4798993310898,111560.67586743996,266678.5306319202,189950.0001101458,45403.28879228458,135936,650.180637722787,1920.5717898584264,127532.20063968159,135956,780.9224383531282,1646.2545368198685,203860.73211876777,135956,136006,50,780.9224383531282,1773.8151733821098,1448.897109396997,295.3308058966906,812.6678288206074,7831.138167597352,3410.885977111175,1810.7836345478572,26095.170051179968,472680.4618344194,152241.22940945253,81106.63251484698,70,579.8231462238755,1773.8151733821098,1214.115619253248,448.0616531684474,448.52982063626496,7831.138167597352,2732.2087165878374,1886.535839007196,26095.170051179968,472680.4618344194,163015.16389536488,74685.72782109918,135998,1554.2663199134613,7831.138167597352,220635.08084617913,1.2629823894997037,11,15,73.33333333333333,1446198,33.70552916890613,2380.977328312596,1035.2924278395576,134.9967412664973,25.39685019840059,12298.064685144569,1122.573570973559,535.1669337560238,0.0,1849689.410928224,26254.715037325757,49202.663970773785
