time [s],alt_lpf [m],sensor_roll,sensor_pitch,sensor_yaw,static_reg_roll,static_reg_pitch,static_reg_yaw,boot_roll,boot_pitch,boot_yaw
1703956764,396.2291615,-87.08628454,-16.54181991,147.5774171,-92.75481387,-16.64967526,95.0133967,106.6202758,-7.613890355,-65.25410475
1703956764,396.2220441,-87.66685129,-16.36309356,146.1452607,-92.75481387,-16.64967526,95.0133967,106.094737,-7.101354847,-65.53621641
1703956764,396.2149978,-88.33916434,-16.20109858,144.6569477,-92.75481387,-16.64967526,95.0133967,105.3721598,-6.596175716,-66.05021949
1703956764,396.2080261,-89.02302051,-16.0304588,143.1738173,-92.75481387,-16.64967526,95.0133967,104.5059715,-6.099772704,-66.68069811
1703956764,396.2011319,-89.5693271,-15.84763019,141.7871157,-92.75481387,-16.64967526,95.0133967,103.874954,-5.605632309,-67.02399062
1703956764,396.1943182,-90.04036064,-15.66216065,140.3797405,-92.75481387,-16.64967526,95.0133967,103.5191554,-5.078165919,-67.06934704
1703956764,396.1875876,-90.47618804,-15.47158432,138.9919047,-92.75481387,-16.64967526,95.0133967,103.2788981,-4.549905067,-66.97762067
1703956764,396.180943,-90.82149354,-15.29839422,137.7091019,-92.75481387,-16.64967526,95.0133967,103.3968482,-4.043836564,-66.54657548
1703956764,396.1743868,-91.19671584,-15.15600848,136.4407858,-92.75481387,-16.64967526,95.0133967,103.5607132,-3.558035504,-66.12812612
1703956764,396.1679218,-91.55887471,-15.02559554,135.1785383,-92.75481387,-16.64967526,95.0133967,103.9916529,-3.072741227,-65.46000664
1703956765,396.1615506,-91.82723925,-14.89561882,134.0431578,-92.75481387,-16.64967526,95.0133967,105.0133753,-2.618136858,-64.19098764
1703956765,396.1552754,-92.03004024,-14.80167976,132.9954231,-92.75481387,-16.64967526,95.0133967,106.9919789,-2.18752851,-62.02933717
1703956765,396.1490985,-92.39597354,-14.75345465,131.8364337,-92.75481387,-16.64967526,95.0133967,108.869094,-1.762022392,-60.06793635
1703956765,396.1430222,-92.80853502,-14.74651387,130.6887474,-92.75481387,-16.64967526,95.0133967,111.3106825,-1.360169993,-57.6236019
1703956765,396.1370487,-93.30208225,-14.72162089,129.51439,-92.75481387,-16.64967526,95.0133967,114.0118022,-0.972038229,-54.88446723
1703956765,396.1311806,-93.80416318,-14.6984158,128.3471827,-92.75481387,-16.64967526,95.0133967,119.7641775,-0.594302991,-49.09300883
1703956765,396.1254207,-94.31548948,-14.696365,127.1671337,-92.75481387,-16.64967526,95.0133967,144.0697767,-0.240292086,-24.7856242
1703956765,396.119772,-94.82607539,-14.70393131,126.0180285,-92.75481387,-16.64967526,95.0133967,-113.1617631,-0.238123793,77.96984292
1703956765,396.1142377,-95.30821654,-14.69673895,124.9513114,-92.75481387,-16.64967526,95.0133967,-89.68139297,-0.549281382,101.4706789
1703956765,396.108821,-95.73179886,-14.69889059,123.9501452,-92.75481387,-16.64967526,95.0133967,-84.39372097,-0.875770421,106.7648957
1703956765,396.1035248,-96.23007,-14.70432002,122.8978455,-92.75481387,-16.64967526,95.0133967,-81.06247347,-1.202836571,110.0988026
1703956765,396.0983518,-96.71155647,-14.71031496,121.8394502,-92.75481387,-16.64967526,95.0133967,-79.4007818,-1.541232642,111.7672088
1703956765,396.093305,-97.14093922,-14.75528919,120.8197312,-92.75481387,-16.64967526,95.0133967,-78.69863763,-1.881748112,112.4024343
1703956765,396.0883869,-97.5842899,-14.8132439,119.7913209,-92.75481387,-16.64967526,95.0133967,-78.0625227,-2.222622624,112.949482
1703956765,396.0835999,-97.87374273,-14.80997242,118.9069701,-92.75481387,-16.64967526,95.0133967,-78.43977957,-2.546193852,112.6065238
1703956765,396.0789459,-98.20128742,-14.82066408,117.9948277,-92.75481387,-16.64967526,95.0133967,-78.52089681,-2.870313263,112.53462
1703956765,396.0744266,-98.59006786,-14.83834824,117.0271595,-92.75481387,-16.64967526,95.0133967,-78.31686772,-3.199886548,112.7382443
1703956765,396.0700435,-98.96942275,-14.83309463,116.0542715,-92.75481387,-16.64967526,95.0133967,-78.25564242,-3.534059192,112.8484479
1703956765,396.0657976,-99.37168903,-14.84779523,115.050515,-92.75481387,-16.64967526,95.0133967,-78.11672036,-3.876135999,113.001088
1703956765,396.0616896,-99.89775198,-14.86497638,113.9594391,-92.75481387,-16.64967526,95.0133967,-77.5599114,-4.216983956,113.5748608
1703956765,396.0577199,-100.300699,-14.84266394,112.9730935,-92.75481387,-16.64967526,95.0133967,-77.53750577,-4.547828886,113.6917423
1703956765,396.0538884,-100.658833,-14.83579554,112.0021278,-92.75481387,-16.64967526,95.0133967,-77.66309657,-4.887849917,113.6319082
1703956765,396.0501944,-101.0040943,-14.82468039,110.9857315,-92.75481387,-16.64967526,95.0133967,-77.9102267,-5.253665078,113.4641475
1703956765,396.0466373,-101.3438628,-14.78251377,109.9327209,-92.75481387,-16.64967526,95.0133967,-78.27555567,-5.636112179,113.2447927
1703956765,396.043216,-101.6777024,-14.72141062,108.8943476,-92.75481387,-16.64967526,95.0133967,-78.65873757,-6.011495357,113.0471963
1703956765,396.0399291,-102.0916193,-14.65608188,107.7610418,-92.75481387,-16.64967526,95.0133967,-78.89813123,-6.402973159,113.0123155
1703956765,396.0367752,-102.4796116,-14.61067812,106.6547944,-92.75481387,-16.64967526,95.0133967,-79.13838539,-6.791920866,112.9383526
1703956765,396.0337522,-102.9271578,-14.57041175,105.4821838,-92.75481387,-16.64967526,95.0133967,-79.27034916,-7.191338999,112.9723402
1703956765,396.0308579,-103.4116212,-14.53258434,104.3216313,-92.75481387,-16.64967526,95.0133967,-79.2954713,-7.571264142,113.1135021
1703956765,396.0280896,-103.9691345,-14.4996686,103.0671341,-92.75481387,-16.64967526,95.0133967,-79.24000951,-7.969942836,113.339801
1703956765,396.0254449,-104.439818,-14.44706513,101.8752367,-92.75481387,-16.64967526,95.0133967,-79.40158516,-8.3666227,113.3845082
1703956765,396.0229209,-104.8606321,-14.37918196,100.7156541,-92.75481387,-16.64967526,95.0133967,-79.69016437,-8.762968071,113.3313507
1703956765,396.0205152,-105.2393859,-14.30316698,99.59809054,-92.75481387,-16.64967526,95.0133967,-80.05079354,-9.152448985,113.2200356
1703956765,396.0182248,-105.6095603,-14.22816837,98.47041381,-92.75481387,-16.64967526,95.0133967,-80.42991654,-9.54925349,113.0913816
1703956765,396.0160472,-105.8810752,-14.14971542,97.4366174,-92.75481387,-16.64967526,95.0133967,-80.92528634,-9.936024055,112.8423015
1703956765,396.0139795,-106.1306195,-14.0793361,96.46018541,-92.75481387,-16.64967526,95.0133967,-81.38170879,-10.30407605,112.6124597
1703956765,396.0120196,-106.4095814,-13.9977285,95.5025701,-92.75481387,-16.64967526,95.0133967,-81.78686007,-10.65010468,112.4580468
1703956765,396.010165,-106.6303871,-13.91461494,94.61619095,-92.75481387,-16.64967526,95.0133967,-82.23682628,-10.98291658,112.2532857
1703956765,396.0084139,-106.7444977,-13.85330563,93.85980542,-92.75481387,-16.64967526,95.0133967,-82.70893516,-11.2962945,111.966676
1703956765,396.0067643,-106.9619498,-13.80869986,93.0485622,-92.75481387,-16.64967526,95.0133967,-82.99957647,-11.59935704,111.8428074
1703956765,396.0052144,-107.156905,-13.74665691,92.26509775,-92.75481387,-16.64967526,95.0133967,-83.34415201,-11.89475482,111.6955719
1703956765,396.0037622,-107.256687,-13.70096032,91.58497046,-92.75481387,-16.64967526,95.0133967,-83.71941667,-12.17900115,111.4704985
1703956765,396.0024055,-107.3255013,-13.67511915,90.92058788,-92.75481387,-16.64967526,95.0133967,-84.0704237,-12.47069152,111.2279681
1703956765,396.0011424,-107.3153781,-13.63719688,90.35803329,-92.75481387,-16.64967526,95.0133967,-84.49070467,-12.74205484,110.9241523
1703956765,395.9999711,-107.3077645,-13.59318909,89.84817873,-92.75481387,-16.64967526,95.0133967,-84.88129482,-12.9863001,110.6576599
1703956765,395.9988904,-107.2714419,-13.57111948,89.43101529,-92.75481387,-16.64967526,95.0133967,-85.1981328,-13.20028211,110.4127586
1703956765,395.9978988,-107.2895654,-13.59461603,88.92872035,-92.75481387,-16.64967526,95.0133967,-85.37043436,-13.44122309,110.2373087
1703956765,395.9969951,-107.1967213,-13.61245836,88.51086916,-92.75481387,-16.64967526,95.0133967,-85.6452912,-13.68421257,109.9524389
1703956765,395.9961782,-107.0323567,-13.60918427,88.24423871,-92.75481387,-16.64967526,95.0133967,-85.97643428,-13.87908385,109.6321467
1703956765,395.9954475,-106.785342,-13.61218914,88.15856114,-92.75481387,-16.64967526,95.0133967,-86.30047453,-14.01982266,109.2840107
1703956765,395.9948022,-106.6393728,-13.66540365,88.03727885,-92.75481387,-16.64967526,95.0133967,-86.39750028,-14.14490922,109.0796067
1703956765,395.9942418,-106.5395292,-13.72173431,87.8962506,-92.75481387,-16.64967526,95.0133967,-86.43974692,-14.26165821,108.9300623
1703956765,395.9937654,-106.4242393,-13.74893651,87.79067008,-92.75481387,-16.64967526,95.0133967,-86.55140876,-14.36325317,108.7623999
1703956765,395.9933724,-106.1955921,-13.80330098,87.88129479,-92.75481387,-16.64967526,95.0133967,-86.64587282,-14.41785343,108.5327079
1703956765,395.9930624,-105.9783717,-13.90437263,87.94280227,-92.75481387,-16.64967526,95.0133967,-86.63012042,-14.48823269,108.3267217
1703956765,395.9928351,-105.6299786,-13.9738115,88.13458738,-92.75481387,-16.64967526,95.0133967,-86.78442506,-14.54297158,107.9875269
1703956765,395.9926906,-105.3107506,-13.96434483,88.3546548,-92.75481387,-16.64967526,95.0133967,-87.07788567,-14.56217189,107.6624473
1703956765,395.9926293,-105.036032,-13.94303195,88.58944246,-92.75481387,-16.64967526,95.0133967,-87.34391464,-14.55508217,107.391888
1703956765,395.9926521,-104.5632792,-13.94432321,88.96529434,-92.75481387,-16.64967526,95.0133967,-87.72591607,-14.56196443,106.9319664
1703956765,395.9927599,-104.2706663,-13.95432524,89.18825518,-92.75481387,-16.64967526,95.0133967,-87.94546412,-14.57235891,106.6476791
1703956765,395.9929533,-104.0023489,-13.96503334,89.43312629,-92.75481387,-16.64967526,95.0133967,-88.13069383,-14.56228483,106.3977691
1703956765,395.9932331,-103.7689467,-13.97876418,89.6550924,-92.75481387,-16.64967526,95.0133967,-88.28007677,-14.54967899,106.1833055
1703956765,395.9935997,-103.4798772,-13.98161996,89.92353022,-92.75481387,-16.64967526,95.0133967,-88.50008812,-14.53589833,105.9111908
1703956765,395.9940537,-103.1441381,-14.00318545,90.25087522,-92.75481387,-16.64967526,95.0133967,-88.71224818,-14.51429127,105.6026301
1703956765,395.9945952,-102.8265629,-14.03414532,90.59147059,-92.75481387,-16.64967526,95.0133967,-88.88318367,-14.47969346,105.3185856
1703956765,395.9952243,-102.6285903,-14.05856575,90.83926998,-92.75481387,-16.64967526,95.0133967,-88.97015339,-14.44107103,105.1492328
1703956765,395.9959404,-102.4023354,-14.07003082,91.12036888,-92.75481387,-16.64967526,95.0133967,-89.10805797,-14.39642835,104.9499382
1703956765,395.9967433,-102.187023,-14.06099599,91.39669991,-92.75481387,-16.64967526,95.0133967,-89.28196366,-14.34781999,104.7567046
1703956765,395.9976325,-102.0133933,-14.07557836,91.65292987,-92.75481387,-16.64967526,95.0133967,-89.36718413,-14.29411158,104.6113341
1703956765,395.9986079,-101.8540078,-14.07087872,91.89109028,-92.75481387,-16.64967526,95.0133967,-89.485038,-14.24177292,104.4739653
1703956765,395.9996696,-101.7212679,-14.06079286,92.10709456,-92.75481387,-16.64967526,95.0133967,-89.59278292,-14.18894259,104.3613641
1703956765,396.0008179,-101.5900401,-14.03569233,92.34119234,-92.75481387,-16.64967526,95.0133967,-89.72734263,-14.12529268,104.250915
1703956765,396.0020531,-101.3823282,-14.02145254,92.64995538,-92.75481387,-16.64967526,95.0133967,-89.90297521,-14.05749599,104.0672858
1703956765,396.0033752,-101.1431584,-14.00332045,92.9984869,-92.75481387,-16.64967526,95.0133967,-90.11286648,-13.98294759,103.8527384
1703956765,396.0047844,-100.99492,-13.99114233,93.26980407,-92.75481387,-16.64967526,95.0133967,-90.23290529,-13.9093074,103.7290762
1703956765,396.006281,-100.8305279,-13.99032556,93.54501352,-92.75481387,-16.64967526,95.0133967,-90.34681134,-13.84145596,103.587866
1703956765,396.0078654,-100.6865317,-13.98906742,93.79755906,-92.75481387,-16.64967526,95.0133967,-90.44639258,-13.77632004,103.4651549
1703956765,396.0095377,-100.5862165,-13.9821008,94.01815345,-92.75481387,-16.64967526,95.0133967,-90.51909829,-13.70831662,103.3862499
1703956765,396.0112975,-100.4286615,-13.98303678,94.27060563,-92.75481387,-16.64967526,95.0133967,-90.63127044,-13.64916718,103.2460521
1703956765,396.0131442,-100.2590888,-14.0163496,94.52311262,-92.75481387,-16.64967526,95.0133967,-90.69052531,-13.59741768,103.0939103
1703956765,396.0150765,-100.0562729,-14.06320965,94.76764194,-92.75481387,-16.64967526,95.0133967,-90.76183659,-13.56455227,102.9007784
1703956765,396.0170932,-99.73448206,-14.05940547,95.12342581,-92.75481387,-16.64967526,95.0133967,-91.04706082,-13.52311053,102.5796969
1703956765,396.0191928,-99.4960953,-14.0244992,95.4379808,-92.75481387,-16.64967526,95.0133967,-91.31581048,-13.4651883,102.3464423
1703956765,396.0213745,-99.31768772,-14.03708469,95.72904354,-92.75481387,-16.64967526,95.0133967,-91.42870238,-13.39675149,102.180944
1703956765,396.0236371,-99.16779884,-14.07934207,95.94453204,-92.75481387,-16.64967526,95.0133967,-91.46637188,-13.3556892,102.0375923
1703956765,396.0259799,-99.00596976,-14.09493837,96.17035914,-92.75481387,-16.64967526,95.0133967,-91.5709043,-13.31290567,101.8793273
1703956765,396.0284018,-98.85915465,-14.10260059,96.4148669,-92.75481387,-16.64967526,95.0133967,-91.67326997,-13.25398871,101.7396225
1703956765,396.0309018,-98.81141087,-14.11763839,96.58635923,-92.75481387,-16.64967526,95.0133967,-91.66591991,-13.18972369,101.7057808
1703956765,396.0334788,-98.69513641,-14.15988244,96.79507307,-92.75481387,-16.64967526,95.0133967,-91.67402967,-13.13762178,101.5955364
1703956765,396.0361318,-98.50872842,-14.23581924,97.05929722,-92.75481387,-16.64967526,95.0133967,-91.68544723,-13.08951965,101.4072716
1703956765,396.0388591,-98.32910281,-14.27442969,97.32083219,-92.75481387,-16.64967526,95.0133967,-91.76702678,-13.03772506,101.2242789
1703956765,396.041659,-98.25766156,-14.33893302,97.49981108,-92.75481387,-16.64967526,95.0133967,-91.69170873,-12.98233224,101.1579289
1703956765,396.04453,-98.1290675,-14.39260776,97.70828554,-92.75481387,-16.64967526,95.0133967,-91.69884306,-12.93591903,101.0254981
1703956765,396.0474704,-98.05607422,-14.4313981,97.88865807,-92.75481387,-16.64967526,95.0133967,-91.67839881,-12.87901998,100.9556853
1703956765,396.0504787,-97.90917656,-14.51425236,98.12364182,-92.75481387,-16.64967526,95.0133967,-91.64906482,-12.82849539,100.7991685
1703956765,396.0535532,-97.78529376,-14.61564144,98.33235634,-92.75481387,-16.64967526,95.0133967,-91.56394578,-12.78203675,100.6641027
1703956765,396.0566924,-97.5850709,-14.66557932,98.59618432,-92.75481387,-16.64967526,95.0133967,-91.66162086,-12.73793841,100.4419048
1703956765,396.0598949,-97.4030123,-14.66076809,98.84678739,-92.75481387,-16.64967526,95.0133967,-91.84835636,-12.69020676,100.2425525
1703956765,396.0631591,-97.27055962,-14.70851344,99.05198734,-92.75481387,-16.64967526,95.0133967,-91.88464686,-12.64639761,100.0936545
1703956765,396.0664833,-97.12473146,-14.78508859,99.25684823,-92.75481387,-16.64967526,95.0133967,-91.88348764,-12.60964832,99.92358787
1703956766,396.0698654,-97.05556844,-14.78445755,99.41294557,-92.75481387,-16.64967526,95.0133967,-91.94788563,-12.56119842,99.85008499
1703956766,396.0733029,-97.00569226,-14.8012399,99.5750615,-92.75481387,-16.64967526,95.0133967,-91.95697079,-12.50224333,99.79809243
